#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Atlantis - The Lost Tales (Europe) (Disc 2);Atlantis - The Lost Tales (Europe) (Disc 2);Sony PlayStation;;1998;Cryo Interactive;Adventure;;;;;0;;;;;
Atlantis - The Lost Tales (Europe) (Disc 3);Atlantis - The Lost Tales (Europe) (Disc 3);Sony PlayStation;;1998;Cryo Interactive;Adventure;;;;;0;;;;;
Attack of the Saucerman (Europe);Attack of the Saucerman (Europe);Sony PlayStation;;1999;SCEE;Shooter;;;;;0;;;;;
Austin Powers Pinball (USA);Austin Powers Pinball (USA);Sony PlayStation;;2002;Gotham Games;Pinball;;;;;0;;;;;
Auto Destruct (USA);Auto Destruct (USA);Sony PlayStation;;1998;Electronic Arts;Action;;;;;0;;;;;
Autobahn Raser II (Germany);Autobahn Raser II (Germany);Sony PlayStation;;1998;Davilex;Driving;;;;;0;;;;;
Ayrton Senna Kart Duel (Europe);Ayrton Senna Kart Duel (Europe);Sony PlayStation;;1996;SunSoft;Driving;;;;;0;;;;;
Ayrton Senna Kart Duel 2 (Europe);Ayrton Senna Kart Duel 2 (Europe);Sony PlayStation;;1997;SunSoft;Driving;;;;;0;;;;;
Aztec - The Curse in the Heart of the City of Gold (Europe);Aztec - The Curse in the Heart of the City of Gold (Europe);Sony PlayStation;;2000;Cryo Interactive;Adventure;;;;;0;;;;;
Azure Dreams (USA);Azure Dreams (USA);Sony PlayStation;;1998;Konami;Role-Playing;;;;;0;;;;;
Baby Felix Tennis (Europe);Baby Felix Tennis (Europe);Sony PlayStation;;2002;LSP;Sports/Tennis;;;;;0;;;;;
Baby Universe (Europe);Baby Universe (Europe);Sony PlayStation;;1998;Sony;Rhythm;;;;;0;;;;;
Backstreet Billiards (USA);Backstreet Billiards (USA);Sony PlayStation;;1998;ASCII Entertainment;Sports/Pool and Dart;;;;;0;;;;;
Backyard Soccer (USA);Backyard Soccer (USA);Sony PlayStation;;2001;Infogrames;Sports/Soccer;;;;;0;;;;;
Baldies (USA);Baldies (USA);Sony PlayStation;;2003;Mud Duck Productions;Strategy;;;;;0;;;;;
Baldur's Gate (USA) (Proto) (Disc 1);Baldur's Gate (USA) (Proto) (Disc 1);Sony PlayStation;;1999;Runecraft;Role-Playing;;;;;0;;;;;
Baldur's Gate (USA) (Proto) (Disc 2);Baldur's Gate (USA) (Proto) (Disc 2);Sony PlayStation;;1999;Runecraft;Role-Playing;;;;;0;;;;;
Baldur's Gate (USA) (Proto) (Disc 3);Baldur's Gate (USA) (Proto) (Disc 3);Sony PlayStation;;1999;Runecraft;Role-Playing;;;;;0;;;;;
Ball Breakers (USA);Ball Breakers (USA);Sony PlayStation;;2000;Take-Two Interactive;Action;;;;;0;;;;;
BallBlazer Champions (USA);BallBlazer Champions (USA);Sony PlayStation;;1997;LucasArts;Action;;;;;0;;;;;
Ballerburg - Castle Chaos (USA);Ballerburg - Castle Chaos (USA);Sony PlayStation;;2003;Mud Duck Productions;Strategy;;;;;0;;;;;
Ballistic (USA);Ballistic (USA);Sony PlayStation;;1999;Infogrames;Puzzle;;;;;0;;;;;
Barbie - Explorer (USA);Barbie - Explorer (USA);Sony PlayStation;;2001;Vivendi Universal;Action;;;;;0;;;;;
Barbie - Gotta Have Games (USA);Barbie - Gotta Have Games (USA);Sony PlayStation;;2003;Vivendi Universal;Mini-Games;;;;;0;;;;;
Barbie - Race & Ride (USA);Barbie - Race & Ride (USA);Sony PlayStation;;1999;Mattel;Sports/Horse Racing;;;;;0;;;;;
Barbie - Super Sports (USA);Barbie - Super Sports (USA);Sony PlayStation;;1999;Mattel;Sports;;;;;0;;;;;
Bases Loaded '96 - Double Header (USA);Bases Loaded '96 - Double Header (USA);Sony PlayStation;;1995;Jaleco;Sports/Baseball;;;;;0;;;;;
Bass Landing (USA);Bass Landing (USA);Sony PlayStation;;1999;Agetec;Sports/Fishing;;;;;0;;;;;
Bass Rise (USA);Bass Rise (USA);Sony PlayStation;;1999;Bandai;Sports/Fishing;;;;;0;;;;;
Batman & Robin (USA);Batman & Robin (USA);Sony PlayStation;;1998;Acclaim;Action;;;;;0;;;;;
Batman - Gotham City Racer (USA);Batman - Gotham City Racer (USA);Sony PlayStation;;2001;Ubisoft;Driving;;;;;0;;;;;
Batman Beyond - Return of the Joker (USA);Batman Beyond - Return of the Joker (USA);Sony PlayStation;;2000;Ubisoft;Action;;;;;0;;;;;
Batman Forever - The Arcade Game (USA);Batman Forever - The Arcade Game (USA);Sony PlayStation;;1996;Acclaim;Beat-'Em-Up;;;;;0;;;;;
Battle Arena Toshinden (USA);Battle Arena Toshinden (USA);Sony PlayStation;;1995;SCEA;Fighter;;;;;0;;;;;
Battle Arena Toshinden 2 (USA);Battle Arena Toshinden 2 (USA);Sony PlayStation;;1996;Playmates;Fighter;;;;;0;;;;;
Battle Arena Toshinden 3 (USA);Battle Arena Toshinden 3 (USA);Sony PlayStation;;1997;Playmates;Fighter;;;;;0;;;;;
Battle Hunter (USA);Battle Hunter (USA);Sony PlayStation;;2001;A1 Games;Role-Playing;;;;;0;;;;;
Battle Stations (USA);Battle Stations (USA);Sony PlayStation;;1997;Electronic Arts;Action;;;;;0;;;;;
BattleSport (USA);BattleSport (USA);Sony PlayStation;;1997;Acclaim;Sports;;;;;0;;;;;
BattleTanx - Global Assault (USA);BattleTanx - Global Assault (USA);Sony PlayStation;;2000;3DO;Shooter;;;;;0;;;;;
Beast Wars - Transformers (USA);Beast Wars - Transformers (USA);Sony PlayStation;;1997;Hasbro Interactive;Action;;;;;0;;;;;
Beatmania (Europe);Beatmania (Europe);Sony PlayStation;;1998;SCEE;Rhythm;;;;;0;;;;;
Bedlam (Europe);Bedlam (Europe);Sony PlayStation;;1997;GT Interactive;Shooter;;;;;0;;;;;
Beyblade (USA);Beyblade (USA);Sony PlayStation;;2002;Crave Entertainment;Action;;;;;0;;;;;
Beyond the Beyond (USA);Beyond the Beyond (USA);Sony PlayStation;;1996;SCEA;Role-Playing;;;;;0;;;;;
Big Air (USA);Big Air (USA);Sony PlayStation;;1999;Accolade;Sports/Snowboarding;;;;;0;;;;;
Big Bass Fishing (USA);Big Bass Fishing (USA);Sony PlayStation;;2002;Take-Two Interactive;Sports/Fishing;;;;;0;;;;;
Big Bass World Championship (USA);Big Bass World Championship (USA);Sony PlayStation;;1997;Hot-B;Sports/Fishing;;;;;0;;;;;
Big League Slugger Baseball (USA);Big League Slugger Baseball (USA);Sony PlayStation;;2003;Agetec;Sports/Baseball;;;;;0;;;;;
Big Ol' Bass 2 (USA);Big Ol' Bass 2 (USA);Sony PlayStation;;2000;Konami;Sports/Fishing;;;;;0;;;;;
Big Strike Bowling (USA);Big Strike Bowling (USA);Sony PlayStation;;2003;Gotham Games;Sports/Bowling;;;;;0;;;;;
Billiards (USA);Billiards (USA);Sony PlayStation;;2001;A1 Games;Sports/Pool and Dart;;;;;0;;;;;
Bio F.R.E.A.K.S. (USA);Bio F.R.E.A.K.S. (USA);Sony PlayStation;;1998;Midway;Fighter;;;;;0;;;;;
Bishi Bashi Special (Europe);Bishi Bashi Special (Europe);Sony PlayStation;;2000;Konami;Party;;;;;0;;;;;
Black Bass with Blue Marlin (USA);Black Bass with Blue Marlin (USA);Sony PlayStation;;1999;Hot-B;Sports/Fishing;;;;;0;;;;;
Black Dawn (USA);Black Dawn (USA);Sony PlayStation;;1996;Virgin Interactive;Shooter;;;;;0;;;;;
Blade (USA);Blade (USA);Sony PlayStation;;2000;Activision;Adventure;;;;;0;;;;;
Blast Chamber (USA);Blast Chamber (USA);Sony PlayStation;;1996;Activision;Action;;;;;0;;;;;
