#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
dietgou;Diet Go Go (USA v1.1 1992.09.26);MAME (Advance);dietgo;1992;Data East Corporation;Platform / Run Jump;;;;;0;;;;;
digdugat1;Dig Dug (Atari, rev 1);MAME (Advance);digdug;1982;Namco (Atari license);Maze / Digging;;;;;0;;;;;
digdugat;Dig Dug (Atari, rev 2);MAME (Advance);digdug;1982;Namco (Atari license);Maze / Digging;;;;;0;;;;;
digsid;Dig Dug (manufactured by Sidam);MAME (Advance);digdug;1982;Namco (Sidam license);Maze / Digging;;;;;0;;;;;
digdug1;Dig Dug (rev 1);MAME (Advance);digdug;1982;Namco;Maze / Digging;;;;;0;;;;;
digdug;Dig Dug (rev 2);MAME (Advance);;1982;Namco;Maze / Digging;;;;;0;;;;;
digdug2;Dig Dug II (New Ver.);MAME (Advance);;1985;Namco;Maze;;;;;0;;;;;
digdug2o;Dig Dug II (Old Ver.);MAME (Advance);digdug2;1985;Namco;Maze;;;;;0;;;;;
digger;Digger;MAME (Advance);;1980;Sega;Maze;;;;;0;;;;;
diggerc;Digger (CVS);MAME (Advance);;1982;Century Electronics;Maze / Digging;;;;;0;;;;;
diggerma;Digger Man (prototype);MAME (Advance);;2000;Kyle Hodgetts;Maze / Digging;;;;;0;;;;;
dimahoo;Dimahoo (Euro 000121);MAME (Advance);;2000;Eighting / Raizing (Capcom license);Shooter / Flying Vertical;;;;;0;;;;;
dimahoud;Dimahoo (USA 000121 Phoenix Edition) (bootleg);MAME (Advance);dimahoo;2000;bootleg;Shooter / Flying Vertical;;;;;0;;;;;
dimahoou;Dimahoo (USA 000121);MAME (Advance);dimahoo;2000;Eighting / Raizing (Capcom license);Shooter / Flying Vertical;;;;;0;;;;;
dingo;Dingo;MAME (Advance);;1983;Ashby Computers and Graphics Ltd. (Jaleco license);Maze;;;;;0;;;;;
dinorexj;Dino Rex (Japan);MAME (Advance);dinorex;1992;Taito Corporation;Fighter / Versus;;;;;0;;;;;
dinorexu;Dino Rex (US);MAME (Advance);dinorex;1992;Taito America Corporation;Fighter / Versus;;;;;0;;;;;
dinorex;Dino Rex (World);MAME (Advance);;1992;Taito Corporation Japan;Fighter / Versus;;;;;0;;;;;
dirtdash;Dirt Dash (Rev. DT2);MAME (Advance);;1995;Namco;Driving / Race 1st Person;;;;;0;;;;;
dirtfoxj;Dirt Fox (Japan);MAME (Advance);;1989;Namco;Driving / Race;;;;;0;;;;;
dh_lx2;Dirty Harry (LX-2);MAME (Advance);;1995;Williams;Electromechanical / Pinball;;;;;0;;;;;
disco79;Disco '79;MAME (Advance);;1979;Allied Leisure;Electromechanical / Pinball;;;;;0;;;;;
discoboy;Disco Boy;MAME (Advance);;1993;Soft Art Co.;Shooter / Gallery * Mature *;;;;;0;;;;;
discoboyp;Disco Boy (Promat license?);MAME (Advance);discoboy;1993;Soft Art Co.;Shooter / Gallery * Mature *;;;;;0;;;;;
disco_l1;Disco Fever (L-1);MAME (Advance);;1978;Williams;Electromechanical / Pinball;;;;;0;;;;;
otatidai;Disco Mahjong Otachidai no Okite (Japan);MAME (Advance);;1995;Sphinx;Tabletop / Mahjong * Mature *;;;;;0;;;;;
disco;Disco No.1;MAME (Advance);;1982;Data East;Maze;;;;;0;;;;;
cdiscon1;Disco No.1 (DECO Cassette);MAME (Advance);;1982;Data East Corporation;Maze;;;;;0;;;;;
discof;Disco No.1 (Rev.F);MAME (Advance);disco;1982;Data East;Maze;;;;;0;;;;;
dotrone;Discs of Tron (Environmental);MAME (Advance);dotron;1983;Bally Midway;Sports / Misc.;;;;;0;;;;;
dotrona;Discs of Tron (Upright alternate);MAME (Advance);dotron;1983;Bally Midway;Sports / Misc.;;;;;0;;;;;
dotron;Discs of Tron (Upright);MAME (Advance);;1983;Bally Midway;Sports / Misc.;;;;;0;;;;;
diverboy;Diver Boy;MAME (Advance);;1992;Gamart (Electronic Devices Italy license);Platform / Run Jump;;;;;0;;;;;
dorunrunc;Do! Run Run (Do's Castle hardware, set 1);MAME (Advance);dorunrun;1984;Universal;Maze;;;;;0;;;;;
dorunrunca;Do! Run Run (Do's Castle hardware, set 2);MAME (Advance);dorunrun;1984;Universal;Maze;;;;;0;;;;;
dorunrun;Do! Run Run (set 1);MAME (Advance);;1984;Universal;Maze;;;;;0;;;;;
dorunrun2;Do! Run Run (set 2);MAME (Advance);dorunrun;1984;Universal;Maze;;;;;0;;;;;
ddonpach;DoDonPachi (International, Master Ver. 97/02/05);MAME (Advance);;1997;Cave (Atlus license);Shooter / Flying Vertical;;;;;0;;;;;
ddonpachj;DoDonPachi (Japan, Master Ver. 97/02/05);MAME (Advance);ddonpach;1997;Cave (Atlus license);Shooter / Flying Vertical;;;;;0;;;;;
ddpdfk10;DoDonPachi Dai-Fukkatsu Ver 1.0 (2008/05/16  MASTER VER);MAME (Advance);ddpdfk;2008;Cave (AMI license);Shooter / Flying Vertical;;;;;0;;;;;
ddpdfk;DoDonPachi Dai-Fukkatsu Ver 1.5 (2008/06/23  MASTER VER 1.5);MAME (Advance);;2008;Cave (AMI license);Shooter / Flying Vertical;;;;;0;;;;;
ddpdojb;DoDonPachi Dai-Ou-Jou (2002.04.05 Master Ver);MAME (Advance);ddpdoj;2002;Cave (AMI license);Shooter / Flying Vertical;;;;;0;;;;;
ddpdojblka;DoDonPachi Dai-Ou-Jou (2002.10.07 Black Ver);MAME (Advance);ddpdoj;2002;Cave (AMI license);Shooter / Flying Vertical;;;;;0;;;;;
ddpdojblk;DoDonPachi Dai-Ou-Jou (2002.10.07.Black Ver);MAME (Advance);ddpdoj;2002;Cave (AMI license);Shooter / Flying Vertical;;;;;0;;;;;
ddpdoja;DoDonPachi Dai-Ou-Jou V100 (2002.04.05.Master Ver);MAME (Advance);ddpdoj;2002;Cave (AMI license);Shooter / Flying Vertical;;;;;0;;;;;
ddpdoj;DoDonPachi Dai-Ou-Jou V101 (2002.04.05.Master Ver);MAME (Advance);;2002;Cave (AMI license);Shooter / Flying Vertical;;;;;0;;;;;
ddp2100c;DoDonPachi II - Bee Storm (China, ver. 100);MAME (Advance);ddp2;2001;IGS;Shooter / Flying Vertical;;;;;0;;;;;
ddp2101c;DoDonPachi II - Bee Storm (China, ver. 101);MAME (Advance);ddp2;2001;IGS;Shooter / Flying Vertical;;;;;0;;;;;
ddp2c;DoDonPachi II - Bee Storm (China, ver. 102);MAME (Advance);ddp2;2001;IGS;Shooter / Flying Vertical;;;;;0;;;;;
ddp2100hk;DoDonPachi II - Bee Storm (Hong Kong, ver. 100);MAME (Advance);ddp2;2001;IGS;Shooter / Flying Vertical;;;;;0;;;;;
ddp2101hk;DoDonPachi II - Bee Storm (Hong Kong, ver. 101);MAME (Advance);ddp2;2001;IGS;Shooter / Flying Vertical;;;;;0;;;;;
ddp2hk;DoDonPachi II - Bee Storm (Hong Kong, ver. 102);MAME (Advance);ddp2;2001;IGS;Shooter / Flying Vertical;;;;;0;;;;;
ddp2100j;DoDonPachi II - Bee Storm (Japan, ver. 100);MAME (Advance);ddp2;2001;IGS;Shooter / Flying Vertical;;;;;0;;;;;
ddp2101j;DoDonPachi II - Bee Storm (Japan, ver. 101);MAME (Advance);ddp2;2001;IGS;Shooter / Flying Vertical;;;;;0;;;;;
ddp2j;DoDonPachi II - Bee Storm (Japan, ver. 102);MAME (Advance);ddp2;2001;IGS;Shooter / Flying Vertical;;;;;0;;;;;
ddp2100k;DoDonPachi II - Bee Storm (Korea, ver. 100);MAME (Advance);ddp2;2001;IGS;Shooter / Flying Vertical;;;;;0;;;;;
ddp2101k;DoDonPachi II - Bee Storm (Korea, ver. 101);MAME (Advance);ddp2;2001;IGS;Shooter / Flying Vertical;;;;;0;;;;;
ddp2k;DoDonPachi II - Bee Storm (Korea, ver. 102);MAME (Advance);ddp2;2001;IGS;Shooter / Flying Vertical;;;;;0;;;;;
ddp2100t;DoDonPachi II - Bee Storm (Taiwan, ver. 100);MAME (Advance);ddp2;2001;IGS;Shooter / Flying Vertical;;;;;0;;;;;
ddp2101t;DoDonPachi II - Bee Storm (Taiwan, ver. 101);MAME (Advance);ddp2;2001;IGS;Shooter / Flying Vertical;;;;;0;;;;;
ddp2t;DoDonPachi II - Bee Storm (Taiwan, ver. 102);MAME (Advance);ddp2;2001;IGS;Shooter / Flying Vertical;;;;;0;;;;;
ddp2100;DoDonPachi II - Bee Storm (World, ver. 100);MAME (Advance);ddp2;2001;IGS;Shooter / Flying Vertical;;;;;0;;;;;
ddp2101;DoDonPachi II - Bee Storm (World, ver. 101);MAME (Advance);ddp2;2001;IGS;Shooter / Flying Vertical;;;;;0;;;;;
ddp2;DoDonPachi II - Bee Storm (World, ver. 102);MAME (Advance);;2001;IGS;Shooter / Flying Vertical;;;;;0;;;;;
dockman;Dock Man;MAME (Advance);;1982;Taito Corporation;Platform / Run Jump;;;;;0;;;;;
dodgecty;Dodge City (9131-02);MAME (Advance);;1988;Merit;Casino / Cards;;;;;0;;;;;
dodgem;Dodgem;MAME (Advance);;1979;Zaccaria;Maze;;;;;0;;;;;
dogfight;Dog Fight (Thunderbolt);MAME (Advance);;1983;Orca / Thunderbolt;Shooter / Flying;;;;;0;;;;;
dogpatch;Dog Patch;MAME (Advance);;1977;Midway;Shooter / Versus;;;;;0;;;;;
dogfgtj;Dog-Fight (Japan);MAME (Advance);dogfgt;1984;Technos Japan;Shooter / Flying;;;;;0;;;;;
dogosoke;Dogou Souken;MAME (Advance);victroad;1986;SNK;Shooter / Walking;;;;;0;;;;;
dogosokb;Dogou Souken (Joystick hack bootleg);MAME (Advance);victroad;1986;bootleg;Shooter / Walking;;;;;0;;;;;
dogyuun;Dogyuun;MAME (Advance);;1992;Toaplan;Shooter / Flying Vertical;;;;;0;;;;;
dogyuunt;Dogyuun (location test);MAME (Advance);dogyuun;1992;Toaplan;Shooter / Flying Vertical;;;;;0;;;;;
dogyuuna;Dogyuun (older set);MAME (Advance);dogyuun;1992;Toaplan;Shooter / Flying Vertical;;;;;0;;;;;
dokaben;Dokaben (Japan);MAME (Advance);;1989;Capcom;Sports / Baseball;;;;;0;;;;;
starseek;Doki Doki Idol Star Seeker (GDL-0005);MAME (Advance);;2001;G.Rev;Puzzle / Misc. * Mature *;;;;;0;;;;;
dokidoki;Doki Doki Penguin Land;MAME (Advance);;1985;Sega;Platform / Run Jump;;;;;0;;;;;
dolmen;Dolmen;MAME (Advance);;1995;Afega;Puzzle / Toss;;;;;0;;;;;
