#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
New 3D Golf Simulation Harukanaru Augusta (Japan);New 3D Golf Simulation Harukanaru Augusta (Japan);Sega Mega Drive Japan;;1993;T&E Soft;Sports;4+;;;;;;;;;
New Zealand Story, The (Japan);New Zealand Story, The (Japan);Sega Mega Drive Japan;;1990;Taito;Action;;;;;;;;;;
Nikkan Sports Pro Yakyuu Van (Japan);Nikkan Sports Pro Yakyuu Van (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Ninja Burai Densetsu (Japan);Ninja Burai Densetsu (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Osomatsu-kun - Hachamecha Gekijou (Japan);Osomatsu-kun - Hachamecha Gekijou (Japan);Sega Mega Drive Japan;;1988;Sega;Action;;;;;;;;;;
OutRun (Japan);OutRun (Japan);Sega Mega Drive Japan;;1991;Sega;Racing;1;;;;;;;;;
Pachinko Canyon (Japan);Pachinko Canyon (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Paddle Fighter (Japan);Paddle Fighter (Japan);Sega Mega Drive Japan;;1991;Sega;Sports;2;;;;;;;;;
Panorama Cotton (Japan);Panorama Cotton (Japan);Sega Mega Drive Japan;;1994;Sunsoft;Shooter;1;;;;;;;;;
Patlabor (Japan);Patlabor (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Pengo (Japan);Pengo (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Power Athlete (Japan);Power Athlete (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Power Instinct (J) [!];Power Instinct (J) [!];Sega Mega Drive Japan;;;;;;;;;;;;;;
Pro Hockey (Japan);Pro Hockey (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Psy-O-Blade Moving Adventure (J) [!];Psy-O-Blade Moving Adventure (J) [!];Sega Mega Drive Japan;;;;;;;;;;;;;;
Pulseman (Japan);Pulseman (Japan);Sega Mega Drive Japan;;1994;Sega;Platform;1;;;;;;;;;
Putter Golf (SN) (Japan);Putter Golf (SN) (Japan);Sega Mega Drive Japan;;1991;Sega;Sports;1;;;;;;;;;
Puyo Puyo Tsu (Japan);Puyo Puyo Tsu (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Pyramid Magic (Japan);Pyramid Magic (Japan);Sega Mega Drive Japan;;1991;Sega;Puzzle;1;;;;;;;;;
Ragnacenty (Japan);Ragnacenty (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Rainbow Islands - The Story of Bubble Bobble 2 (JU) [b1];Rainbow Islands - The Story of Bubble Bobble 2 (JU) [b1];Sega Mega Drive Japan;;1993;Sega;Platform;1;;;;;;;;;
Ransei no Hasha (Japan);Ransei no Hasha (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Rent A Hero (Japan);Rent A Hero (Japan);Sega Mega Drive Japan;;1991;Sega;Role-Playing;1;;;;;;;;;
Ristar - The Shooting Star (Japan);Ristar - The Shooting Star (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
RoadBlasters (Japan);RoadBlasters (Japan);Sega Mega Drive Japan;;1991;Tengen;Action / Racing / Shooter;;;;;;;;;;
RoboCop versus The Terminator (Japan);RoboCop versus The Terminator (Japan);Sega Mega Drive Japan;;1994;Virgin Games;Action;1;;;;;;;;;
Rocket Knight Adventures (Japan);Rocket Knight Adventures (Japan);Sega Mega Drive Japan;;1993;Konami;Action / Platform;1;;;;;;;;;
Rockman Megaworld (Japan);Rockman Megaworld (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Royal Blood (Japan);Royal Blood (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Runark (JUE);Runark (JUE);Sega Mega Drive Japan;;;;;;;;;;;;;;
Ryuuko no Ken (Japan);Ryuuko no Ken (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Same! Same! Same! (Japan);Same! Same! Same! (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Sangokushi II (Japan);Sangokushi II (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Sangokushi III (Japan);Sangokushi III (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Sangokushi Retsuden - Ransei no Eiyuu Tachi (Japan);Sangokushi Retsuden - Ransei no Eiyuu Tachi (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Shi Kin Joh (Japan);Shi Kin Joh (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Shining and the Darkness (Japan);Shining and the Darkness (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Shiten Myooh (Japan);Shiten Myooh (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Shogi no Hoshi (Japan);Shogi no Hoshi (Japan);Sega Mega Drive Japan;;1991;Home Data;Puzzle;;;;;;;;;;
Shura no Mon (Japan);Shura no Mon (Japan);Sega Mega Drive Japan;;1992;SEGA;Fighting;2;;;;;;;;;
Slam Dunk - Shikyou Gekitotsu! (1);Slam Dunk - Shikyou Gekitotsu! (1);Sega Mega Drive Japan;;;;;;;;;;;;;;
Slap Fight MD (Japan);Slap Fight MD (Japan);Sega Mega Drive Japan;;1993;Tengen;Shooter;;;;;;;;;;
Snow Bros;Snow Bros;Sega Mega Drive Japan;;;;;;;;;;;;;;
Sokoban (J);Sokoban (J);Sega Mega Drive Japan;;;;;;;;;;;;;;
Sonic Crackers (Japan);Sonic Crackers (Japan);Sega Mega Drive Japan;;2009;SonicRetro;Platform;2;;;;;;;;;
Sonic Eraser (Japan);Sonic Eraser (Japan);Sega Mega Drive Japan;;1991;Sega;Puzzle;;;;;;;;;;
Sonic Spinball (Japan);Sonic Spinball (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Sonic the Hedgehog (Japan);Sonic the Hedgehog (Japan);Sega Mega Drive Japan;;1991;Sega;Action / Adventure;1;;;;;;;;;
Sonic the Hedgehog 3 (Japan);Sonic the Hedgehog 3 (Japan);Sega Mega Drive Japan;;1994;Sega;Adventure;2;;;;;;;;;
Sorcer Kingdom (Japan);Sorcer Kingdom (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Sorcerian (Japan);Sorcerian (Japan);Sega Mega Drive Japan;;1990;Sega;Role-Playing;1;;;;;;;;;
Space Funky B.O.B. (Japan);Space Funky B.O.B. (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Star Cruiser (Japan);Star Cruiser (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Street Fighter II' Plus - Champion Edition (Japan);Street Fighter II' Plus - Champion Edition (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Super Airwolf (Japan);Super Airwolf (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Super Daisenryaku (Japan);Super Daisenryaku (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Super Fantasy Zone (Japan);Super Fantasy Zone (Japan);Sega Mega Drive Japan;;1993;Sunsoft;Shooter;;;;;;;;;;
Super HQ (Japan);Super HQ (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Super League 91 (Japan);Super League 91 (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Super Masters Golf (J) [!];Super Masters Golf (J) [!];Sega Mega Drive Japan;;;;;;;;;;;;;;
Super Shinobi II, The (Japan);Super Shinobi II, The (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Super Shinobi, The (Japan);Super Shinobi, The (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Surging Aura (Japan);Surging Aura (Japan);Sega Mega Drive Japan;;1995;Sega;Role-Playing;;;;;;;;;;
Taiga Drama Taiheiki (Japan);Taiga Drama Taiheiki (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Taikou Risshiden (Japan);Taikou Risshiden (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Tanto R (Japan);Tanto R (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Tecmo Cup (Japan);Tecmo Cup (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Tecmo Cup (Japan) (Proto) [b];Tecmo Cup (Japan) (Proto) [b];Sega Mega Drive Japan;;;;;;;;;;;;;;
Teenage Mutant Ninja Turtles - Tournament Fighters (Japan);Teenage Mutant Ninja Turtles - Tournament Fighters (Japan);Sega Mega Drive Japan;;1993;Konami;Fighting;2;;;;;;;;;
Teitoku no Ketsudan (Japan);Teitoku no Ketsudan (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Tel Tel Mahjong (Japan);Tel Tel Mahjong (Japan);Sega Mega Drive Japan;;1990;Sunsoft;Puzzle;;;;;;;;;;
Tel Tel Stadium (Japan);Tel Tel Stadium (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Tetris (Japan);Tetris (Japan);Sega Mega Drive Japan;;1989;Sega;Puzzle;1;;;;;;;;;
Thunder Force IV (Japan);Thunder Force IV (Japan);Sega Mega Drive Japan;;1992;Tecnosoft;Shooter;2;;;;;;;;;
Time Dominator 1st (Japan);Time Dominator 1st (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Top Pro Golf (Japan);Top Pro Golf (Japan);Sega Mega Drive Japan;;1992;Soft Vision;Sports;;;;;;;;;;
Top Pro Golf 2 (Japan);Top Pro Golf 2 (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Tougiou King Colossus (Japan);Tougiou King Colossus (Japan);Sega Mega Drive Japan;;1992;Sega;Action / Role-Playing;;;;;;;;;;
Twinkle Tale (Japan);Twinkle Tale (Japan);Sega Mega Drive Japan;;1992;Wonder Amusement Studio;Action / Shooter;1;;;;;;;;;
Uchu Senkan Gomora (Japan);Uchu Senkan Gomora (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Ultraman (Japan);Ultraman (Japan);Sega Mega Drive Japan;;1993;Bandai, Ma-Ba;Action;1;;;;;;;;;
Undead Line (Japan);Undead Line (Japan);Sega Mega Drive Japan;;1991;Palsoft;Shooter;1;;;;;;;;;
V-Five (Japan);V-Five (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Valis III (Japan);Valis III (Japan);Sega Mega Drive Japan;;1991;Renovation Products;Action / Adventure;1;;;;;;;;;
